,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
CSRP2,1.098137,-0.0047913464,-0.00636685,0.25857958,0.17491624,-0.0032083904,0.7831576,-0.0019781792,0.40275878,-0.015459367,0.29693392,-0.0059810067,1.9090292,0.2623689,-0.0004561267,0.88683504
TEAD4,0.9725679,-0.004755969,-0.0060841134,0.19128163,0.14962459,-0.0030513438,0.8365376,-0.0020194163,0.33276552,-0.014953644,0.30840448,-0.005947588,1.931051,0.21823663,-0.0005338792,0.8077695
SNORA68,6.407607,-0.004536072,-0.02621673,2.5537708,1.8119007,-0.011743222,-0.01971476,-0.001725991,3.188098,-0.026180752,0.05560297,0.50873363,-0.002459086,2.5059018,0.6398995,3.5657084
CELF3,5.6983085,-0.0003459902,-0.018140107,1.9740055,1.8679845,-0.008115843,-0.015142574,-0.0022119328,3.4068933,-0.027913904,-0.0018943327,-0.0021450832,-0.0011823778,2.7498562,0.42554334,3.2709634
SMARCD1,1.8601619,-0.0056728143,-0.008436309,0.6134959,0.378891,-0.0047851712,0.39577553,-0.001305849,0.8858754,-0.017597139,0.23707047,-0.0055530984,1.7443368,0.596735,-0.00042488208,1.2565662
CTSZ,1.710838,-0.0056857783,-0.008290231,0.56066513,0.34143767,-0.004465056,0.45324403,-0.0013702774,0.8255975,-0.01745682,0.2007601,-0.0060346453,1.752506,0.5704373,-0.0003217452,1.1536065
RNF19A,1.8634044,-0.0056865555,-0.00839564,0.61323786,0.37853685,-0.004796625,0.3915164,-0.0013328966,0.87773484,-0.01748303,0.24770159,-0.005419022,1.750215,0.5919634,-0.00046655766,1.2676698
HEXIM1,2.0007277,-0.0045661055,-0.00806874,0.5283923,0.31036338,-0.0057554822,0.3289157,-0.0017039059,0.9377841,-0.017525485,0.41887808,-0.003126661,1.8079073,0.5955088,-0.0012505284,1.2797766
MSANTD3,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
HIST1H2AI,1.2397758,-0.0053680665,-0.006789411,0.32018426,0.20908208,-0.003631966,0.69558036,-0.0017464856,0.5115038,-0.015558918,0.31271818,-0.005876274,1.8891046,0.32014418,-0.0006452557,0.94010776
TMED9,0.8289707,-0.004732249,-0.0058358065,0.14733669,0.100933045,-0.002649913,0.9038445,-0.0017241645,0.28342968,-0.014088206,0.29316196,-0.0062506315,1.905765,0.17376111,-0.00011750683,0.71623534
MSC,0.25190696,0.032494016,-0.0048809135,-0.0033370624,-0.0018946681,0.13305008,0.4340195,-0.0039949743,-0.0011532059,-0.0030462607,0.032226186,0.70082635,0.5833882,0.09148977,0.4793677,0.75777537
GLIPR1,0.44164452,-0.003864802,-0.0049115536,-9.11425e-05,0.02988763,-0.0016267368,1.0358453,-0.00232391,0.03948377,-0.012860431,0.32383135,-0.0059696636,1.9558055,0.045871824,-0.0008603595,0.55709934
FOXJ3,0.7073128,-0.0043371827,-0.005119841,0.108064264,0.08242768,-0.0023025833,0.9408715,-0.0019899746,0.16833879,-0.013563525,0.31076276,-0.006121219,1.9440453,0.1092948,-0.00055407686,0.6847693
ZFP991,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
ZFP275,1.8021073,-0.007734221,-0.009907607,0.74041474,0.37896553,-0.0042316765,0.26918975,0.08824286,1.0368661,-0.018374618,0.2449758,-0.0051370566,1.7221024,0.6820226,-0.0022066622,1.1119355
HMGA2,1.1635756,-0.005017904,-0.0064767227,0.29845303,0.19846368,-0.0034383002,0.72211957,-0.0017787647,0.4532881,-0.01509711,0.3357535,-0.005622341,1.8994982,0.2757977,-0.0007498398,0.9307427
MEIS3,1.5123426,-0.0054726545,-0.0073778974,0.44680145,0.27064365,-0.0041298545,0.5777371,-0.0015864498,0.6619555,-0.016447788,0.29359105,-0.005632623,1.8435583,0.4245715,-0.0004997317,1.0938425
ZMYND11,1.5130225,-0.0053202515,-0.007375597,0.4542053,0.2660767,-0.004107918,0.57491004,-0.0015755302,0.6661856,-0.016640006,0.27391782,-0.0057509155,1.8426092,0.44006312,-0.00036824448,1.1057838
GRIN1,0.67989826,-0.0040680915,-0.0051128995,0.08763699,0.1049363,-0.0021897631,0.919122,-0.001990861,0.14305952,-0.0130688865,0.3598135,-0.0052558286,1.9137173,0.100361705,-0.00079531665,0.69633776
SNORA62,0.3915833,-0.0039413236,-0.0046287784,-0.0005875643,0.0225811,-0.0016249272,1.0745782,-0.002269723,-0.0001864536,-0.012562017,0.3218674,-0.0060845003,1.9706807,0.012975633,-0.00062016724,0.5035336
SLC25A5,5.79081,-0.011478211,-0.02582473,2.53071,1.8067423,-0.009859787,-0.01948402,0.345526,3.7142472,-0.029686376,0.28613442,0.037361484,0.0238536,2.7287467,-0.0018545093,3.2040277
LHX2,0.57724714,-0.004180291,-0.005078575,0.035430245,0.06908293,-0.0022265096,0.99233735,-0.001997396,0.111033045,-0.013269882,0.32580432,-0.005970291,1.9697943,0.057532758,-0.00062786083,0.61896026
AARS,6.4566236,-0.005971916,-0.021932757,2.513368,2.0864365,-0.012720582,-0.019777967,-0.003237688,3.5046403,-0.0273406,0.32071847,0.015789488,-0.0013223835,2.6990342,0.13122615,3.8200853
ING3,1.8808343,-0.0064978753,-0.010285512,0.61364627,0.4805841,-0.0035876955,0.41124007,-0.002306619,0.7357485,-0.015577662,0.23402053,-0.003661419,1.6985784,0.72128654,-0.000554106,1.1996924
ECT2,1.3016033,-0.004555048,-0.0065488154,0.29116133,0.22625525,-0.004355651,0.7083868,-0.0012669511,0.483077,-0.015317942,0.31094363,-0.005046774,1.9254286,0.25863945,-0.00047476782,1.0521419
ELOVL6,1.412896,-0.0052034217,-0.0070646885,0.4058627,0.26719874,-0.003943165,0.60513985,-0.0016111135,0.58441925,-0.0156667,0.32365367,-0.00530928,1.8490534,0.37060127,-0.0006150484,1.06522
STARD8,0.9999764,-0.0046130563,-0.006025341,0.21279626,0.16084425,-0.0031053908,0.80740213,-0.0020422563,0.33627146,-0.014832694,0.3232752,-0.005725173,1.922209,0.21611544,-0.0006028238,0.853463
ZFP978,5.6386395,-0.012115608,-0.021470359,2.4411669,1.3842382,-0.004620463,-0.019454015,-0.0011198651,2.9400659,-0.021000728,0.4623806,0.0066079902,-0.0013492221,2.0875409,-0.0012096053,3.183306
DNAJC2,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
HDAC7,0.8157089,-0.0046653016,-0.005581599,0.10984372,0.13992788,-0.0029128143,0.8582903,-0.0019691251,0.23008014,-0.013657076,0.3714173,-0.005486586,1.9332826,0.13379866,-0.0009201648,0.73617846
GM10135,6.4203687,-0.0058064084,-0.022838408,2.3991308,1.9724437,-0.012195707,-0.018985182,-0.0021823493,3.509897,-0.027152956,0.3138638,0.12980512,-0.0009032996,2.6416206,0.26035118,3.8898008
