auc:0.942542, aupr:0.674561
auc:0.940744, aupr:0.657638
auc:0.939726, aupr:0.665141
auc:0.943089, aupr:0.659249
auc:0.943633, aupr:0.663059
auc:0.941501, aupr:0.663836
auc:0.940467, aupr:0.667200
auc:0.944035, aupr:0.675625
auc:0.943585, aupr:0.665346
auc:0.941219, aupr:0.661387
AUROC: 0.9421
AUPRC: 0.6653
auc:0.926239, aupr:0.574598
auc:0.928649, aupr:0.583384
auc:0.913780, aupr:0.500056
auc:0.928259, aupr:0.573987
auc:0.923136, aupr:0.542117
auc:0.933349, aupr:0.582253
auc:0.931276, aupr:0.592878
auc:0.930812, aupr:0.581819
auc:0.927933, aupr:0.576397
auc:0.931993, aupr:0.574375
AUROC: 0.9275
AUPRC: 0.5682
auc:0.936657, aupr:0.657348
auc:0.939835, aupr:0.656982
auc:0.939222, aupr:0.669206
auc:0.942298, aupr:0.673971
auc:0.933548, aupr:0.659004
auc:0.939613, aupr:0.670060
auc:0.940982, aupr:0.671308
auc:0.931117, aupr:0.634829
auc:0.940550, aupr:0.667196
auc:0.935485, aupr:0.666882
AUROC: 0.9379
AUPRC: 0.6627
auc:0.935900, aupr:0.542170
auc:0.937908, aupr:0.547051
auc:0.936835, aupr:0.538939
auc:0.935966, aupr:0.557435
auc:0.936852, aupr:0.547001
auc:0.932186, aupr:0.545754
auc:0.935267, aupr:0.550940
auc:0.938358, aupr:0.543956
auc:0.936290, aupr:0.534930
auc:0.936823, aupr:0.548781
AUROC: 0.9362
AUPRC: 0.5457
auc:0.939252, aupr:0.691745
auc:0.946873, aupr:0.687424
auc:0.932370, aupr:0.679310
auc:0.934283, aupr:0.675693
auc:0.921872, aupr:0.644064
auc:0.944713, aupr:0.692818
auc:0.927321, aupr:0.670661
auc:0.935067, aupr:0.682786
auc:0.935388, aupr:0.680518
auc:0.919712, aupr:0.670999
AUROC: 0.9337
AUPRC: 0.6776
auc:0.937021, aupr:0.742420
auc:0.925918, aupr:0.735938
auc:0.922854, aupr:0.734295
auc:0.926416, aupr:0.744374
auc:0.931108, aupr:0.730696
auc:0.927568, aupr:0.722710
auc:0.932380, aupr:0.736066
auc:0.943737, aupr:0.734894
auc:0.931140, aupr:0.739196
auc:0.926970, aupr:0.755778
AUROC: 0.9305
AUPRC: 0.7376
auc:0.764344, aupr:0.498627
auc:0.812799, aupr:0.556908
auc:0.825583, aupr:0.551631
auc:0.825694, aupr:0.543982
auc:0.806841, aupr:0.510578
auc:0.822762, aupr:0.537126
auc:0.811160, aupr:0.566146
auc:0.763871, aupr:0.517586
auc:0.824716, aupr:0.553231
auc:0.835404, aupr:0.559550
AUROC: 0.8093
AUPRC: 0.5395
auc:0.948075, aupr:0.785418
auc:0.950923, aupr:0.788208
auc:0.947970, aupr:0.789897
auc:0.953664, aupr:0.788804
auc:0.947079, aupr:0.771622
auc:0.946023, aupr:0.780058
auc:0.946797, aupr:0.784383
auc:0.947650, aupr:0.788775
auc:0.947872, aupr:0.784443
auc:0.949625, aupr:0.786414
AUROC: 0.9486
AUPRC: 0.7848
auc:0.953688, aupr:0.920399
auc:0.943162, aupr:0.908600
auc:0.950208, aupr:0.915355
auc:0.952529, aupr:0.920592
auc:0.955100, aupr:0.923966
auc:0.954643, aupr:0.921457
auc:0.955095, aupr:0.926784
auc:0.955686, aupr:0.924263
auc:0.958361, aupr:0.924747
auc:0.955700, aupr:0.923438
AUROC: 0.9534
AUPRC: 0.9210
auc:0.862770, aupr:0.608945
auc:0.871443, aupr:0.605692
auc:0.863843, aupr:0.571205
auc:0.863580, aupr:0.620776
auc:0.868926, aupr:0.645282
auc:0.876962, aupr:0.606199
auc:0.863007, aupr:0.613214
auc:0.826500, aupr:0.593419
auc:0.875655, aupr:0.618189
auc:0.849027, aupr:0.622358
AUROC: 0.8622
AUPRC: 0.6105
auc:0.903325, aupr:0.825502
auc:0.901982, aupr:0.822860
auc:0.901098, aupr:0.817327
auc:0.907313, aupr:0.828228
auc:0.909202, aupr:0.828792
auc:0.913389, aupr:0.834006
auc:0.916032, aupr:0.834746
auc:0.904394, aupr:0.826138
auc:0.916757, aupr:0.839172
auc:0.901401, aupr:0.824989
AUROC: 0.9075
AUPRC: 0.8282
auc:0.888746, aupr:0.892376
auc:0.884586, aupr:0.888943
auc:0.888489, aupr:0.891986
auc:0.884806, aupr:0.889517
auc:0.882797, aupr:0.887264
auc:0.895846, aupr:0.897752
auc:0.900893, aupr:0.900625
auc:0.903538, aupr:0.903979
auc:0.896531, aupr:0.896293
auc:0.900391, aupr:0.902261
AUROC: 0.8927
AUPRC: 0.8951
auc:0.923000, aupr:0.901744
auc:0.929288, aupr:0.910072
auc:0.926621, aupr:0.906380
auc:0.926065, aupr:0.906040
auc:0.924937, aupr:0.901948
auc:0.919200, aupr:0.897989
auc:0.926956, aupr:0.908805
auc:0.923189, aupr:0.903290
auc:0.919904, aupr:0.903866
auc:0.924583, aupr:0.906406
AUROC: 0.9244
AUPRC: 0.9047
auc:0.893297, aupr:0.881421
auc:0.892507, aupr:0.879411
auc:0.901195, aupr:0.883770
auc:0.898710, aupr:0.879929
auc:0.905506, aupr:0.882472
auc:0.898989, aupr:0.878483
auc:0.904912, aupr:0.886230
auc:0.891353, aupr:0.878482
