auc:0.939305, aupr:0.673590
auc:0.934200, aupr:0.671871
auc:0.937309, aupr:0.665514
auc:0.935676, aupr:0.653541
auc:0.935222, aupr:0.664251
auc:0.937121, aupr:0.649573
auc:0.942932, aupr:0.658045
auc:0.938495, aupr:0.662763
auc:0.941147, aupr:0.664777
auc:0.938474, aupr:0.660212
AUROC: 0.9380
AUPRC: 0.6624
auc:0.923014, aupr:0.604650
auc:0.918109, aupr:0.611110
auc:0.909211, aupr:0.587100
auc:0.924514, aupr:0.609638
auc:0.915854, aupr:0.600931
auc:0.921690, aupr:0.592090
auc:0.921624, aupr:0.618515
auc:0.921082, aupr:0.609420
auc:0.917040, aupr:0.599184
auc:0.918904, aupr:0.595720
AUROC: 0.9191
AUPRC: 0.6028
auc:0.919039, aupr:0.695618
auc:0.925138, aupr:0.675715
auc:0.916028, aupr:0.691413
auc:0.924188, aupr:0.696028
auc:0.931820, aupr:0.717308
auc:0.921642, aupr:0.680673
auc:0.919774, aupr:0.707508
auc:0.922703, aupr:0.690776
auc:0.923499, aupr:0.697097
auc:0.923020, aupr:0.682690
AUROC: 0.9227
AUPRC: 0.6935
auc:0.918862, aupr:0.497373
auc:0.914780, aupr:0.501143
auc:0.912957, aupr:0.477419
auc:0.922784, aupr:0.532326
auc:0.921832, aupr:0.516024
auc:0.913792, aupr:0.497258
auc:0.922546, aupr:0.526040
auc:0.925750, aupr:0.516270
auc:0.918837, aupr:0.516093
auc:0.923503, aupr:0.530961
AUROC: 0.9196
AUPRC: 0.5111
auc:0.952898, aupr:0.735369
auc:0.956916, aupr:0.684071
auc:0.947964, aupr:0.717297
auc:0.943956, aupr:0.736916
auc:0.954844, aupr:0.726747
auc:0.945550, aupr:0.737988
auc:0.951555, aupr:0.702304
auc:0.957399, aupr:0.774238
auc:0.957479, aupr:0.735726
auc:0.950853, aupr:0.746229
AUROC: 0.9519
AUPRC: 0.7297
auc:0.951714, aupr:0.804419
auc:0.930815, aupr:0.758533
auc:0.932381, aupr:0.787933
auc:0.926652, aupr:0.792488
auc:0.935939, aupr:0.791412
auc:0.932280, aupr:0.771910
auc:0.942165, aupr:0.812979
auc:0.948303, aupr:0.771277
auc:0.933090, aupr:0.763320
auc:0.950161, aupr:0.748518
AUROC: 0.9384
AUPRC: 0.7803
auc:0.838115, aupr:0.598966
auc:0.818474, aupr:0.516654
auc:0.778279, aupr:0.405380
auc:0.822383, aupr:0.520327
auc:0.829256, aupr:0.615168
auc:0.774369, aupr:0.527861
auc:0.834048, aupr:0.555773
auc:0.831368, aupr:0.569384
auc:0.824086, aupr:0.585447
auc:0.795697, aupr:0.568696
AUROC: 0.8146
AUPRC: 0.5464
auc:0.958099, aupr:0.805467
auc:0.955348, aupr:0.806064
auc:0.954184, aupr:0.797620
auc:0.953228, aupr:0.797464
auc:0.951509, aupr:0.800694
auc:0.951752, aupr:0.790543
auc:0.958366, aupr:0.808403
auc:0.958662, aupr:0.808773
auc:0.955929, aupr:0.805995
auc:0.959512, aupr:0.817026
AUROC: 0.9557
AUPRC: 0.8038
auc:0.976822, aupr:0.945513
auc:0.977149, aupr:0.951036
auc:0.977123, aupr:0.950048
auc:0.976324, aupr:0.947882
auc:0.976184, aupr:0.946617
auc:0.976074, aupr:0.950831
auc:0.976226, aupr:0.945853
auc:0.978086, aupr:0.950681
auc:0.976016, aupr:0.947097
auc:0.977621, aupr:0.950046
AUROC: 0.9768
AUPRC: 0.9486
auc:0.903005, aupr:0.636239
auc:0.881708, aupr:0.622150
auc:0.889143, aupr:0.624645
auc:0.899406, aupr:0.617774
auc:0.856386, aupr:0.565325
auc:0.891750, aupr:0.616564
auc:0.907335, aupr:0.640798
auc:0.897537, aupr:0.639073
auc:0.890539, aupr:0.616780
auc:0.862356, aupr:0.583290
AUROC: 0.8879
AUPRC: 0.6163
auc:0.955721, aupr:0.885996
auc:0.955938, aupr:0.887669
auc:0.957688, aupr:0.888957
auc:0.954675, aupr:0.884999
auc:0.957366, aupr:0.890364
auc:0.956995, aupr:0.889340
auc:0.957935, aupr:0.891369
auc:0.957070, aupr:0.888625
auc:0.955267, aupr:0.884557
auc:0.956386, aupr:0.888098
AUROC: 0.9565
AUPRC: 0.8880
auc:0.951403, aupr:0.949110
auc:0.954431, aupr:0.949820
auc:0.950462, aupr:0.943905
auc:0.954538, aupr:0.951479
auc:0.951946, aupr:0.948601
auc:0.951181, aupr:0.948831
auc:0.953230, aupr:0.946981
auc:0.948981, aupr:0.940794
auc:0.950325, aupr:0.946508
auc:0.952755, aupr:0.947570
AUROC: 0.9519
AUPRC: 0.9474
auc:0.948431, aupr:0.941788
auc:0.945707, aupr:0.935540
auc:0.950384, aupr:0.941277
auc:0.945424, aupr:0.933601
auc:0.947479, aupr:0.938362
auc:0.947155, aupr:0.936595
auc:0.948655, aupr:0.939570
auc:0.952445, aupr:0.944303
auc:0.944885, aupr:0.932491
auc:0.944323, aupr:0.937557
AUROC: 0.9475
AUPRC: 0.9381
auc:0.922733, aupr:0.906302
auc:0.921337, aupr:0.893793
auc:0.920628, aupr:0.903884
auc:0.922885, aupr:0.906429
auc:0.920456, aupr:0.908325
auc:0.915736, aupr:0.894676
auc:0.916227, aupr:0.892055
auc:0.916312, aupr:0.895729
auc:0.923806, aupr:0.909091
auc:0.922401, aupr:0.905154
AUROC: 0.9203
AUPRC: 0.9015
auc:0.785419, aupr:0.176467
auc:0.779888, aupr:0.187457
auc:0.776138, aupr:0.178621
auc:0.775186, aupr:0.183206
auc:0.771279, aupr:0.166286
auc:0.778497, aupr:0.189595
auc:0.768788, aupr:0.189616
auc:0.770676, aupr:0.185392
auc:0.766286, aupr:0.173622
auc:0.772366, aupr:0.170460
AUROC: 0.7745
AUPRC: 0.1801
auc:0.824709, aupr:0.201764
auc:0.811233, aupr:0.200509
auc:0.820967, aupr:0.215917
auc:0.811257, aupr:0.204359
auc:0.817776, aupr:0.205446
auc:0.807983, aupr:0.204283
auc:0.807932, aupr:0.201443
auc:0.830344, aupr:0.211871
auc:0.825507, aupr:0.208724
auc:0.821660, aupr:0.210979
AUROC: 0.8179
AUPRC: 0.2065
auc:0.842413, aupr:0.379635
auc:0.858417, aupr:0.369820
auc:0.845896, aupr:0.344435
auc:0.840541, aupr:0.390822
auc:0.860298, aupr:0.392064
auc:0.863194, aupr:0.373399
auc:0.851326, aupr:0.373965
auc:0.850231, aupr:0.357928
auc:0.849713, aupr:0.373493
auc:0.854024, aupr:0.375787
AUROC: 0.8516
AUPRC: 0.3731
auc:0.852926, aupr:0.260042
auc:0.849271, aupr:0.253420
auc:0.855737, aupr:0.245883
auc:0.849254, aupr:0.266741
auc:0.854279, aupr:0.239242
auc:0.844976, aupr:0.252573
auc:0.851031, aupr:0.257494
auc:0.861677, aupr:0.269870
auc:0.846618, aupr:0.249857
auc:0.854582, aupr:0.249473
AUROC: 0.8520
AUPRC: 0.2545
auc:0.812025, aupr:0.409059
auc:0.808886, aupr:0.403563
auc:0.803111, aupr:0.416484
auc:0.807540, aupr:0.375416
auc:0.786088, aupr:0.394096
auc:0.784714, aupr:0.391992
auc:0.805755, aupr:0.385879
auc:0.787549, aupr:0.381034
auc:0.787040, aupr:0.365236
auc:0.799782, aupr:0.421452
AUROC: 0.7982
AUPRC: 0.3944
auc:0.787755, aupr:0.419585
auc:0.793569, aupr:0.423695
auc:0.787306, aupr:0.452482
auc:0.784505, aupr:0.415228
auc:0.777512, aupr:0.424606
auc:0.830632, aupr:0.439005
auc:0.777956, aupr:0.434882
auc:0.800403, aupr:0.428611
auc:0.794343, aupr:0.429051
auc:0.794119, aupr:0.396459
AUROC: 0.7928
AUPRC: 0.4264
auc:0.788604, aupr:0.426171
auc:0.836501, aupr:0.413589
auc:0.792178, aupr:0.376883
auc:0.785562, aupr:0.393040
auc:0.815363, aupr:0.428236
auc:0.773003, aupr:0.407556
auc:0.790258, aupr:0.458241
auc:0.821944, aupr:0.438944
auc:0.801633, aupr:0.403021
auc:0.789101, aupr:0.406193
AUROC: 0.7994
AUPRC: 0.4152
auc:0.969622, aupr:0.879830
auc:0.971534, aupr:0.876015
auc:0.971734, aupr:0.880721
auc:0.966673, aupr:0.879057
auc:0.972310, aupr:0.880681
auc:0.969891, aupr:0.867091
auc:0.968613, aupr:0.877004
auc:0.970292, aupr:0.883752
auc:0.970510, aupr:0.881540
auc:0.971540, aupr:0.882881
AUROC: 0.9703
AUPRC: 0.8789
auc:0.923133, aupr:0.623442
auc:0.924152, aupr:0.614067
auc:0.920452, aupr:0.627825
auc:0.925979, aupr:0.622507
auc:0.926245, aupr:0.607950
auc:0.925088, aupr:0.629985
auc:0.916738, aupr:0.618028
auc:0.919823, aupr:0.593435
auc:0.918691, aupr:0.604839
auc:0.920489, aupr:0.616767
AUROC: 0.9221
AUPRC: 0.6159
auc:0.901876, aupr:0.564967
auc:0.903621, aupr:0.539442
auc:0.899797, aupr:0.558547
auc:0.911330, aupr:0.569357
auc:0.908694, aupr:0.555630
auc:0.899427, aupr:0.550012
auc:0.902664, aupr:0.572859
auc:0.904885, aupr:0.561291
auc:0.904732, aupr:0.564729
auc:0.900582, aupr:0.536157
AUROC: 0.9038
AUPRC: 0.5573
auc:0.915998, aupr:0.643059
auc:0.913636, aupr:0.655724
auc:0.911382, aupr:0.667276
auc:0.908391, aupr:0.658481
auc:0.929606, aupr:0.680621
auc:0.918847, aupr:0.648916
auc:0.915589, aupr:0.655769
auc:0.920032, aupr:0.666273
auc:0.915516, aupr:0.651059
auc:0.913059, aupr:0.650573
AUROC: 0.9162
AUPRC: 0.6578
auc:0.928982, aupr:0.529701
auc:0.930385, aupr:0.537141
auc:0.927409, aupr:0.528460
auc:0.933860, aupr:0.549851
auc:0.923341, aupr:0.516666
auc:0.928202, aupr:0.528886
auc:0.926460, aupr:0.533059
auc:0.926899, aupr:0.526936
auc:0.921709, aupr:0.521501
auc:0.919663, aupr:0.523940
AUROC: 0.9267
AUPRC: 0.5296
auc:0.929005, aupr:0.686654
auc:0.924766, aupr:0.671001
auc:0.931669, aupr:0.677709
auc:0.922634, aupr:0.653995
auc:0.925779, aupr:0.695314
auc:0.934158, aupr:0.673415
auc:0.921555, aupr:0.681383
auc:0.941736, aupr:0.675786
auc:0.934088, aupr:0.646615
auc:0.928785, aupr:0.647470
AUROC: 0.9294
AUPRC: 0.6709
auc:0.925039, aupr:0.760017
auc:0.929565, aupr:0.762940
auc:0.925017, aupr:0.764071
auc:0.941424, aupr:0.748009
auc:0.913926, aupr:0.759120
auc:0.916922, aupr:0.765587
auc:0.917309, aupr:0.761134
auc:0.925793, aupr:0.750461
auc:0.924119, aupr:0.711334
auc:0.933062, aupr:0.767627
AUROC: 0.9252
AUPRC: 0.7550
auc:0.893455, aupr:0.609187
auc:0.870666, aupr:0.610637
auc:0.908726, aupr:0.645057
auc:0.908726, aupr:0.599601
auc:0.902653, aupr:0.650908
auc:0.896079, aupr:0.592989
auc:0.897288, aupr:0.601939
auc:0.867291, aupr:0.599809
auc:0.875884, aupr:0.655996
auc:0.899499, aupr:0.620816
AUROC: 0.8920
AUPRC: 0.6187
auc:0.976446, aupr:0.860626
auc:0.973836, aupr:0.848360
auc:0.974520, aupr:0.847853
auc:0.976890, aupr:0.861945
auc:0.976564, aupr:0.863077
auc:0.977432, aupr:0.863131
auc:0.974808, aupr:0.858233
auc:0.976213, aupr:0.854871
auc:0.975525, aupr:0.852423
auc:0.974166, aupr:0.849717
AUROC: 0.9756
AUPRC: 0.8560
auc:0.977919, aupr:0.943695
auc:0.979553, aupr:0.948215
auc:0.979460, aupr:0.946805
auc:0.979159, aupr:0.948201
auc:0.979361, aupr:0.948201
auc:0.980081, aupr:0.952017
auc:0.978479, aupr:0.946086
auc:0.977114, aupr:0.941787
auc:0.978631, aupr:0.948620
auc:0.979495, aupr:0.950072
AUROC: 0.9789
AUPRC: 0.9474
auc:0.921289, aupr:0.724078
auc:0.931808, aupr:0.727662
auc:0.933303, aupr:0.698969
auc:0.922316, aupr:0.720304
auc:0.919502, aupr:0.711258
auc:0.925263, aupr:0.741176
auc:0.924946, aupr:0.691722
auc:0.925575, aupr:0.704034
auc:0.921322, aupr:0.713244
auc:0.918778, aupr:0.694523
AUROC: 0.9244
AUPRC: 0.7127
auc:0.961478, aupr:0.901719
auc:0.961250, aupr:0.903870
auc:0.961896, aupr:0.903051
auc:0.962325, aupr:0.903633
auc:0.962221, aupr:0.902262
auc:0.961584, aupr:0.903395
auc:0.962340, aupr:0.905896
auc:0.961830, aupr:0.904976
auc:0.961560, aupr:0.901528
auc:0.962798, aupr:0.902755
AUROC: 0.9619
AUPRC: 0.9033
auc:0.961568, aupr:0.952768
auc:0.962886, aupr:0.956502
auc:0.960890, aupr:0.953162
auc:0.961610, aupr:0.952264
auc:0.959465, aupr:0.947503
auc:0.961789, aupr:0.956793
auc:0.963298, aupr:0.955904
auc:0.961803, aupr:0.952520
auc:0.962163, aupr:0.954644
auc:0.963339, aupr:0.957799
AUROC: 0.9619
AUPRC: 0.9540
auc:0.959396, aupr:0.951975
auc:0.963488, aupr:0.956186
auc:0.963652, aupr:0.957562
auc:0.961664, aupr:0.953765
auc:0.962900, aupr:0.956482
auc:0.961707, aupr:0.954814
auc:0.962649, aupr:0.955848
auc:0.959393, aupr:0.952320
auc:0.960443, aupr:0.956148
auc:0.964206, aupr:0.959703
AUROC: 0.9619
AUPRC: 0.9555
auc:0.927729, aupr:0.901636
auc:0.932330, aupr:0.914104
auc:0.932840, aupr:0.916440
auc:0.932861, aupr:0.913901
auc:0.935813, aupr:0.914488
auc:0.933720, aupr:0.920025
auc:0.930819, aupr:0.913158
auc:0.928985, aupr:0.909138
auc:0.931637, aupr:0.918568
auc:0.929781, aupr:0.908448
AUROC: 0.9317
AUPRC: 0.9130
auc:0.791166, aupr:0.157318
auc:0.801168, aupr:0.163663
auc:0.780732, aupr:0.149968
auc:0.786003, aupr:0.154154
auc:0.785723, aupr:0.148232
auc:0.791891, aupr:0.152973
auc:0.772876, aupr:0.156294
auc:0.800503, aupr:0.158413
auc:0.802581, aupr:0.163269
auc:0.795027, aupr:0.171297
AUROC: 0.7908
AUPRC: 0.1576
auc:0.839079, aupr:0.176439
auc:0.842768, aupr:0.182534
auc:0.848353, aupr:0.174829
auc:0.843091, aupr:0.177056
auc:0.828387, aupr:0.169484
auc:0.835276, aupr:0.167173
auc:0.824670, aupr:0.172443
auc:0.834074, aupr:0.168451
auc:0.838439, aupr:0.171396
auc:0.825332, aupr:0.174658
AUROC: 0.8359
AUPRC: 0.1734
auc:0.878535, aupr:0.346346
auc:0.873484, aupr:0.374021
auc:0.856607, aupr:0.355591
auc:0.856634, aupr:0.373320
auc:0.867421, aupr:0.369803
auc:0.857864, aupr:0.352122
auc:0.862777, aupr:0.374855
auc:0.863719, aupr:0.362376
auc:0.872615, aupr:0.392639
auc:0.855012, aupr:0.357777
AUROC: 0.8645
AUPRC: 0.3659
auc:0.852892, aupr:0.221710
auc:0.877063, aupr:0.250125
auc:0.865362, aupr:0.209663
auc:0.865008, aupr:0.239715
auc:0.868134, aupr:0.232606
auc:0.863406, aupr:0.245275
auc:0.863518, aupr:0.209590
auc:0.867007, aupr:0.223529
auc:0.868096, aupr:0.238532
auc:0.868758, aupr:0.225047
AUROC: 0.8659
AUPRC: 0.2296
auc:0.842554, aupr:0.398776
auc:0.828677, aupr:0.378444
auc:0.841963, aupr:0.392523
auc:0.836963, aupr:0.397963
auc:0.822401, aupr:0.384762
auc:0.828142, aupr:0.362839
auc:0.833553, aupr:0.381997
auc:0.829835, aupr:0.373390
auc:0.826506, aupr:0.397024
auc:0.841805, aupr:0.369548
AUROC: 0.8332
AUPRC: 0.3837
auc:0.825133, aupr:0.482104
auc:0.820780, aupr:0.469359
auc:0.822114, aupr:0.444233
auc:0.852445, aupr:0.500297
auc:0.839552, aupr:0.461042
auc:0.856357, aupr:0.453624
auc:0.837035, aupr:0.439312
auc:0.821175, aupr:0.441603
auc:0.832365, aupr:0.477592
auc:0.822650, aupr:0.501788
AUROC: 0.8330
AUPRC: 0.4671
auc:0.709877, aupr:0.277381
auc:0.651141, aupr:0.256296
auc:0.695552, aupr:0.234720
auc:0.695240, aupr:0.249408
auc:0.686780, aupr:0.274238
auc:0.667739, aupr:0.299939
auc:0.673275, aupr:0.272452
auc:0.654613, aupr:0.254406
auc:0.683223, aupr:0.284243
auc:0.713969, aupr:0.245805
AUROC: 0.6831
AUPRC: 0.2649
auc:0.969718, aupr:0.871962
auc:0.972021, aupr:0.873496
auc:0.972106, aupr:0.878033
auc:0.969708, aupr:0.872032
auc:0.971795, aupr:0.878335
auc:0.971251, aupr:0.873220
auc:0.971873, aupr:0.870619
auc:0.972303, aupr:0.869936
auc:0.970164, aupr:0.869740
auc:0.973434, aupr:0.872092
AUROC: 0.9714
AUPRC: 0.8729
